"symbol","logFC","FDR","Sig"
"SERPING1","1.903537698","4.66E-9","Up"
"FCER1G","1.905180605","1.34E-20","Up"
"OSCAR","1.907302418","8.48E-16","Up"
"FLOT1","1.911026347","1.33E-14","Up"
"SLC2A3","1.916772114","1.04E-17","Up"
"CTSG","1.918941458","2.77E-8","Up"
"MPO","1.919234783","2.16E-8","Up"
"IL1RN","1.933496106","1.91E-13","Up"
"RNASE2","1.935173099","3.27E-12","Up"
"IL18RAP","1.943379241","2.53E-15","Up"
"SLPI","1.956674108","2.99E-10","Up"
"LRRN1","1.957412942","8.60E-10","Up"
"RNASE3","1.963308597","1.02E-8","Up"
"B4GALT5","1.969121211","2.44E-14","Up"
"DAAM2","1.972667","5.73E-10","Up"
"MGST1","1.974052793","1.78E-12","Up"
"TNFAIP6","1.977549006","4.40E-11","Up"
"C3AR1","1.988897085","1.59E-15","Up"
"SLC26A8","1.99086203","5.20E-15","Up"
"HIST1H2AD","1.996208804","1.42E-11","Up"
"C1QA","1.997855414","4.12E-9","Up"
"ORM1","2.000224955","3.25E-9","Up"
"ST6GALNAC3","2.00148955","8.53E-13","Up"
"ACER3","2.013104549","1.26E-14","Up"
"UPP1","2.018942234","4.09E-20","Up"
"CPEB4","2.024300792","8.35E-13","Up"
"SLC2A14","2.025210883","1.17E-15","Up"
"RP11-295G20.2","2.035183286","4.45E-20","Up"
"RHAG","2.035436212","1.97E-9","Up"
"PROK2","2.037846395","1.80E-16","Up"
"ADM","2.04481588","4.29E-18","Up"
"SERPINB2","2.049939216","1.49E-10","Up"
"CST7","2.053371396","1.47E-15","Up"
"PYGL","2.06073666","2.30E-19","Up"
"HPGD","2.064026924","1.65E-9","Up"
"NQO2","2.064595011","1.66E-16","Up"
"VSIG4","2.077647576","8.19E-10","Up"
"G0S2","2.086596044","1.41E-11","Up"
"STOM","2.089983159","3.94E-21","Up"
"IL10RB-AS1","2.095258252","2.69E-16","Up"
"CA4","2.118812983","4.10E-14","Up"
"C9orf84","2.128526805","1.09E-10","Up"
"DACH1","2.150898132","3.35E-17","Up"
"ALPL","2.166942617","4.08E-11","Up"
"PSTPIP2","2.185683229","8.01E-16","Up"
"IRAK3","2.191401054","7.68E-16","Up"
"C1QB","2.256830366","8.17E-12","Up"
"DEFA1","2.278235829","1.08E-13","Up"
"CKAP4","2.279274857","1.12E-19","Up"
"SAMSN1","2.303509451","2.58E-13","Up"
"LINC01093","2.312537344","4.03E-12","Up"
"DHRS9","2.312791937","2.15E-13","Up"
"SERPINB1","2.31408198","3.67E-21","Up"
"S100P","2.336081572","2.95E-22","Up"
"MS4A3","2.342504245","2.40E-13","Up"
"TLR5","2.374497014","6.89E-24","Up"
"NLRC4","2.393817775","1.55E-19","Up"
"AZU1","2.410263187","2.81E-13","Up"
"GADD45A","2.415618712","8.97E-18","Up"
"PRTN3","2.419036657","4.09E-13","Up"
"DYSF","2.426908896","5.96E-28","Up"
"IL1R1","2.441667256","1.49E-14","Up"
"HK3","2.446268289","1.32E-23","Up"
"METTL7B","2.455445672","3.83E-14","Up"
"ST3GAL4-AS1","2.508121329","1.34E-20","Up"
"GPR97","2.551877773","1.13E-26","Up"
"MGAM","2.560803661","8.05E-24","Up"
"FCAR","2.581492066","1.22E-21","Up"
"LRG1","2.594673387","1.53E-22","Up"
"BCL2A1","2.602752589","1.40E-21","Up"
"PGLYRP1","2.626120815","4.02E-18","Up"
"CEACAM6","2.662316317","2.93E-16","Up"
"S100A12","2.691233705","6.04E-55","Up"
"GRB10","2.746147124","7.23E-22","Up"
"NAIP","2.754256715","1.27E-18","Up"
"FOLR3","2.75497605","4.63E-19","Up"
"MS4A4A","2.769222214","4.17E-18","Up"
"C15orf48","2.798006292","1.55E-17","Up"
"PFKFB3","2.805598464","3.54E-27","Up"
"FCGR1B","2.805687771","1.70E-21","Up"
"CD163","2.811576004","9.88E-18","Up"
"PCOLCE2","2.819981183","5.81E-18","Up"
"CEACAM1","2.822359734","5.43E-19","Up"
"GYG1","2.82286754","2.99E-26","Up"
"HGF","2.824049955","3.90E-18","Up"
"FCGR1A","2.895108567","1.86E-20","Up"
"RGL4","2.905989488","1.42E-24","Up"
"CLEC4D","2.932063261","3.61E-22","Up"
"FGF13","2.951261014","1.19E-19","Up"
"CYSTM1","2.964285755","1.58E-36","Up"
"IL18R1","3.001702287","2.03E-20","Up"
"BMX","3.051568494","4.77E-25","Up"
"TDRD9","3.100710397","4.23E-22","Up"
"VNN1","3.108303124","2.20E-23","Up"
"DEFA4","3.114432465","8.05E-24","Up"
"CRISP3","3.176452765","1.78E-24","Up"
"ELANE","3.190185543","5.97E-23","Up"
"TCN1","3.204329048","4.66E-24","Up"
"GPR84","3.602026368","4.01E-30","Up"
"CLEC5A","3.730278509","7.60E-31","Up"
"IL1R2","3.815986284","2.78E-33","Up"
"ANXA3","3.938665406","2.02E-43","Up"
"MMP9","3.981786867","1.10E-35","Up"
"MCEMP1","4.064367215","1.49E-62","Up"
"ANKRD22","4.146425963","1.00E-38","Up"
"HP","4.33889544","2.25E-42","Up"
"ARG1","4.36169859","2.48E-44","Up"
"LTF","4.400424534","2.24E-43","Up"
"LCN2","4.443469026","2.33E-43","Up"
"CEACAM8","4.451543749","2.12E-45","Up"
"RETN","4.47526568","2.02E-43","Up"
"CD177","5.259429829","7.93E-60","Up"
"OLAH","5.361993066","1.61E-58","Up"
"OLFM4","6.448842436","1.50E-81","Up"
"MMP8","6.548956226","1.50E-81","Up"
